instrument_id,isin,symbol,resolution_status
NSE-ISIN:INE482D01024,INE482D01024,ACRYSIL,CERTIFIED
NSE-ISIN:INE144J01019,INE144J01019,20MICRONS,CERTIFIED
NSE-ISIN:INE144J01027,INE144J01027,20MICRONS,CERTIFIED
NSE-ISIN:INE253B01015,INE253B01015,21STCENMGM,CERTIFIED
NSE-ISIN:INE466L01038,INE466L01038,360ONE,CERTIFIED
NSE-ISIN:INE994E01018,INE994E01018,3BBLACKBIO,CERTIFIED
NSE-ISIN:INE748C01038,INE748C01038,3IINFOLTD,CERTIFIED
NSE-ISIN:INE748C01020,INE748C01020,3IINFOTECH,CERTIFIED
NSE-ISIN:INE470A01017,INE470A01017,3MINDIA,CERTIFIED
NSE-ISIN:INE105C01023,INE105C01023,3PLAND,CERTIFIED
NSE-ISIN:INE382T01030,INE382T01030,GVPTECH,CERTIFIED
NSE-ISIN:INE618L01018,INE618L01018,5PAISA,CERTIFIED
NSE-ISIN:INE111B01023,INE111B01023,63MOONS,CERTIFIED
NSE-ISIN:INE650K01021,INE650K01021,SECURKLOUD,CERTIFIED
NSE-ISIN:INE619I01012,INE619I01012,A2ZINFRA,CERTIFIED
NSE-ISIN:INE619I01012,INE619I01012,A2ZINFRA,CERTIFIED
NSE-ISIN:INE0D0U01013,INE0D0U01013,AAATECH,CERTIFIED
NSE-ISIN:INE883F01010,INE883F01010,AADHARHFC,CERTIFIED
NSE-ISIN:INE087Z01016,INE087Z01016,AAKASH,CERTIFIED
NSE-ISIN:INE087Z01024,INE087Z01024,AAKASH,CERTIFIED
NSE-ISIN:INE928K01013,INE928K01013,AANJANEYA,CERTIFIED
NSE-ISIN:INE198H01019,INE198H01019,AAREYDRUGS,CERTIFIED
NSE-ISIN:INE750R01016,INE750R01016,AARNAV,CERTIFIED
NSE-ISIN:INE721Z01010,INE721Z01010,AARON,CERTIFIED
NSE-ISIN:INE01C001026,INE01C001026,AARTECH,CERTIFIED
NSE-ISIN:INE767A01016,INE767A01016,AARTIDRUGS,CERTIFIED
NSE-ISIN:INE769A01020,INE769A01020,AARTIIND,CERTIFIED
NSE-ISIN:INE0LRU01027,INE0LRU01027,AARTIPHARM,CERTIFIED
NSE-ISIN:INE09EO01013,INE09EO01013,AARTISURF,CERTIFIED
NSE-ISIN:INE273D01019,INE273D01019,AARVEEDEN,CERTIFIED
NSE-ISIN:INE273D01027,INE273D01027,VGL,CERTIFIED
NSE-ISIN:INE754X01016,INE754X01016,AARVI,CERTIFIED
NSE-ISIN:INE2FMX01012,INE2FMX01012,AASTHA,CERTIFIED
NSE-ISIN:INE216P01012,INE216P01012,AAVAS,CERTIFIED
NSE-ISIN:INE421A01028,INE421A01028,ABAN,CERTIFIED
NSE-ISIN:INE421A01028,INE421A01028,ABAN,CERTIFIED
NSE-ISIN:INE421A01028,INE421A01028,ABAN,CERTIFIED
NSE-ISIN:INE365O01028,INE365O01028,ABANSENT,CERTIFIED
NSE-ISIN:INE117A01022,INE117A01022,ABB,CERTIFIED
NSE-ISIN:INE878A01011,INE878A01011,APIL,CERTIFIED
NSE-ISIN:INE358A01014,INE358A01014,ABBOTINDIA,CERTIFIED
NSE-ISIN:INE674K01013,INE674K01013,ABCAPITAL,CERTIFIED
NSE-ISIN:INE605B01016,INE605B01016,ABCIL,CERTIFIED
NSE-ISIN:INE08PH01015,INE08PH01015,ABCOTS,CERTIFIED
NSE-ISIN:INE552Z01027,INE552Z01027,ABDL,CERTIFIED
NSE-ISIN:INE647O01011,INE647O01011,ABFRL,CERTIFIED
NSE-ISIN:INE067H01016,INE067H01016,ABGSHIP,CERTIFIED
NSE-ISIN:INE004I01017,INE004I01017,ABHISHEK,CERTIFIED
NSE-ISIN:INE00YB01025,INE00YB01025,ABINFRA,CERTIFIED
NSE-ISIN:INE069A01017,INE069A01017,ABIRLANUVO,CERTIFIED
NSE-ISIN:INE14LE01019,INE14LE01019,ABLBL,CERTIFIED
NSE-ISIN:INE251C01025,INE251C01025,ABMINTLLTD,CERTIFIED
NSE-ISIN:INE251C01017,INE251C01017,ABMINTLTD,CERTIFIED
